pp,trial,voice_id,condition,scene_id,1,2,3,4,5,6,7,8,9,ans_sd,SoPA,SoNA,Accept,SoA,Authorship
P12,6,clone,counter,10,4.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,8.0,1.2817398889233114,3.0,4.5,8.0,3.142857142857143,4.0
P12,7,robotic,counter,11,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,10.0,1.4577379737113252,2.4,5.0,10.0,2.5714285714285716,2.0
P12,8,robotic,repeat,1,5.0,3.0,5.0,7.0,6.0,1.0,5.0,5.0,6.0,1.8468119248354136,5.6,4.0,6.0,5.142857142857143,7.0
P12,9,robotic,enhance,3,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,1.4880476182856899,2.0,5.0,4.0,2.2857142857142856,2.0
P12,10,robotic,counter,5,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,1.8322507626258087,2.0,6.0,3.0,2.0,2.0
P12,11,robotic,repeat,7,5.0,4.0,3.0,5.0,1.0,1.0,3.0,1.0,9.0,1.8850918886280925,3.0,4.5,9.0,3.142857142857143,5.0
P12,12,robotic,enhance,9,5.0,6.0,4.0,3.0,3.0,1.0,3.0,1.0,10.0,1.3887301496588271,3.0,3.0,10.0,3.5714285714285716,3.0
P13,1,robotic,counter,1,2.0,6.0,2.0,1.0,4.0,4.0,3.0,2.0,5.0,1.6035674514745464,2.4,4.0,5.0,2.857142857142857,1.0
P13,2,robotic,enhance,3,3.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,1.807721533549109,2.0,5.5,3.0,2.142857142857143,3.0
P13,3,robotic,repeat,5,5.0,4.0,6.0,6.0,4.0,3.0,2.0,1.0,8.0,1.685018016012207,3.6,3.0,8.0,4.0,6.0
P13,4,robotic,counter,7,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.659215781283755,1.2,7.0,2.0,1.1428571428571428,2.0
P13,5,robotic,enhance,9,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,7.0,2.4748737341529163,1.8,6.5,7.0,1.7142857142857142,4.0
